Country Name,Continent,Image URL,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Australia,Oceania,https://flagcdn.com/w80/au.png,AUS,10280815.0,10500443.0,10707235.0,10913271.0,11128257.0,11357478.0,11592486.0,11810519.0,12030011.0,12272387.0,12599414.0,12997962.0,13304896.0,13518687.0,13719499.0,13893985.0,14046757.0,14203512.0,14367097.0,14533034.0,14721343.0,14949209.0,15192485.0,15414891.0,15620650.0,15835742.0,16069630.0,16322272.0,16594102.0,16869361.0,17126301.0,17353191.0,17549282.0,17722905.0,17897430.0,18095338.0,18305299.0,18504909.0,18701707.0,18909979.0,19132473.0,19365437.0,19595357.0,19819450.0,20046680.0,20294490.0,20590565.0,20954545.0,21370595.0,21783014.0,22141583.0,22479778.0,22852649.0,23236271.0,23595599.0,23947998.0,24329961.0,24731044.0,25119700.0,25482714.0,25743787.0,25956416.0
Austria,Europe,https://flagcdn.com/w80/at.png,AUT,7047274.0,7086061.0,7129580.0,7175502.0,7223393.0,7270413.0,7321523.0,7376293.0,7414628.0,7440308.0,7466321.0,7499636.0,7543264.0,7585107.0,7597963.0,7577832.0,7564457.0,7567332.0,7561204.0,7548345.0,7548405.0,7567550.0,7573077.0,7561166.0,7560716.0,7564311.0,7569397.0,7574314.0,7585347.0,7620406.0,7679626.0,7757140.0,7842716.0,7907492.0,7938156.0,7950322.0,7960918.0,7969802.0,7978465.0,7993895.0,8012929.0,8042232.0,8081638.0,8122605.0,8173494.0,8229204.0,8269902.0,8296949.0,8323250.0,8345072.0,8365087.0,8393272.0,8431598.0,8481411.0,8547812.0,8644037.0,8737920.0,8798780.0,8841652.0,8880875.0,8921402.0,8967053.0
Azerbaijan,Asia,https://flagcdn.com/w80/az.png,AZE,3982710.0,4108981.0,4239411.0,4372047.0,4503659.0,4630315.0,4751910.0,4867309.0,4976488.0,5081769.0,5183827.0,5283500.0,5380920.0,5476614.0,5572229.0,5669260.0,5791042.0,5937643.0,6075082.0,6187137.0,6284707.0,6385606.0,6491435.0,6602332.0,6706289.0,6799822.0,6891349.0,6977657.0,7081403.0,7167583.0,7231085.0,7314314.0,7405779.0,7504118.0,7608896.0,7719283.0,7830982.0,7936220.0,8025808.0,8100472.0,8174783.0,8251776.0,8326141.0,8400529.0,8489875.0,8597248.0,8711380.0,8828316.0,8942637.0,9046336.0,9146852.0,9256154.0,9376181.0,9504417.0,9631136.0,9752859.0,9868434.0,9968511.0,10039778.0,10110486.0,10181736.0,10234373.0
"Bahamas, The",Americas,https://flagcdn.com/w80/bs.png,BHS,116327.0,122209.0,128506.0,135099.0,141538.0,147967.0,154882.0,162278.0,170101.0,177993.0,184995.0,190869.0,196059.0,200799.0,205355.0,209895.0,214518.0,219171.0,223771.0,228243.0,232539.0,236626.0,240623.0,244717.0,248878.0,253169.0,257547.0,261948.0,266457.0,271186.0,275955.0,280745.0,285938.0,291348.0,296520.0,301470.0,306282.0,310914.0,315375.0,319623.0,323846.0,327846.0,331625.0,335625.0,339794.0,343905.0,348385.0,353342.0,358133.0,362807.0,367482.0,371738.0,375474.0,378957.0,382311.0,385355.0,388060.0,390497.0,392718.0,394684.0,395874.0,396381.0
Bahrain,Asia,https://flagcdn.com/w80/bh.png,BHR,165490.0,172358.0,179361.0,186510.0,193830.0,200877.0,207550.0,214198.0,219348.0,222480.0,224816.0,230745.0,242128.0,255334.0,269047.0,283251.0,297870.0,312826.0,328059.0,343460.0,358991.0,373532.0,386990.0,400722.0,415165.0,430365.0,446290.0,462864.0,479931.0,497329.0,514800.0,531883.0,547754.0,562820.0,577960.0,593228.0,608595.0,624020.0,639391.0,654621.0,669590.0,699964.0,752206.0,811278.0,871449.0,932619.0,994626.0,1057418.0,1120717.0,1183616.0,1213250.0,1206734.0,1216308.0,1257206.0,1312858.0,1369656.0,1429609.0,1482004.0,1497634.0,1485675.0,1483081.0,1501762.0
Bangladesh,Asia,https://flagcdn.com/w80/bd.png,BGD,51828663.0,53310344.0,54881155.0,56504405.0,58178373.0,59902521.0,61669811.0,63510933.0,65408278.0,67294130.0,69058900.0,70276759.0,71641525.0,73722297.0,75839350.0,77854353.0,79855319.0,81867267.0,83889659.0,85935069.0,88016436.0,90303105.0,92814506.0,95335162.0,97814966.0,100253825.0,102635570.0,104959291.0,107216011.0,109433805.0,111633723.0,113787112.0,115952198.0,118132363.0,120343183.0,122600371.0,124862185.0,127198069.0,129622333.0,132108064.0,134544303.0,136805812.0,138933659.0,140970356.0,142902855.0,144715789.0,146405982.0,147989283.0,149474264.0,150873716.0,152201977.0,153591075.0,155070111.0,156532135.0,157964931.0,159383180.0,160811935.0,162186147.0,163523108.0,164913060.0,166298024.0,167658855.0
Barbados,Americas,https://flagcdn.com/w80/bb.png,BRB,230901.0,233155.0,235236.0,237566.0,239969.0,242420.0,245010.0,247099.0,248554.0,249443.0,249398.0,249177.0,249663.0,250331.0,250787.0,251188.0,251455.0,251631.0,251566.0,251276.0,251532.0,252274.0,253097.0,253992.0,254930.0,255831.0,256628.0,257286.0,257768.0,258111.0,258581.0,259382.0,260273.0,261034.0,261627.0,262044.0,262290.0,262404.0,262437.0,262521.0,262069.0,262428.0,264151.0,265787.0,267296.0,268719.0,270010.0,271296.0,272718.0,274137.0,275250.0,276149.0,276947.0,277670.0,278355.0,278997.0,279604.0,280176.0,280715.0,281216.0,281705.0,282156.0
Belarus,Europe,https://flagcdn.com/w80/by.png,BLR,8208004.0,8320429.0,8424479.0,8517706.0,8602841.0,8679940.0,8752970.0,8823251.0,8891334.0,8954602.0,9014901.0,9079746.0,9144639.0,9205708.0,9265674.0,9324290.0,9380093.0,9434945.0,9485806.0,9537697.0,9603173.0,9678047.0,9748285.0,9815555.0,9881697.0,9944185.0,10004288.0,10057608.0,10107636.0,10158780.0,10186257.0,10193888.0,10217561.0,10241320.0,10230192.0,10197466.0,10164023.0,10122364.0,10080580.0,10039223.0,9991311.0,9938068.0,9873451.0,9803174.0,9735090.0,9667831.0,9608041.0,9563136.0,9529357.0,9507334.0,9490752.0,9472737.0,9463075.0,9464454.0,9472704.0,9487288.0,9499067.0,9495792.0,9480033.0,9435414.0,9350943.0,9251367.0
Belgium,Europe,https://flagcdn.com/w80/be.png,BEL,9102170.0,9158207.0,9217669.0,9275198.0,9337682.0,9399852.0,9455001.0,9505921.0,9549700.0,9589187.0,9630508.0,9666524.0,9694851.0,9718032.0,9735810.0,9748475.0,9758905.0,9774018.0,9791813.0,9811367.0,9833093.0,9850674.0,9862330.0,9869136.0,9874586.0,9880337.0,9886981.0,9899150.0,9916567.0,9936574.0,9960969.0,9998961.0,10045987.0,10084932.0,10116005.0,10137264.0,10156973.0,10181465.0,10203186.0,10226681.0,10251719.0,10287004.0,10332978.0,10376260.0,10421298.0,10478883.0,10548446.0,10625490.0,10709710.0,10812936.0,10936620.0,11038627.0,11107524.0,11160277.0,11210111.0,11275332.0,11332704.0,11376583.0,11428609.0,11490622.0,11540103.0,11570842.0
Belize,Americas,https://flagcdn.com/w80/bz.png,BLZ,91331.0,93645.0,96060.0,98713.0,101619.0,104691.0,107916.0,111290.0,114731.0,118053.0,120745.0,122819.0,124690.0,126460.0,128199.0,130404.0,133117.0,135905.0,138719.0,141692.0,145072.0,148802.0,152561.0,156310.0,160060.0,163813.0,167570.0,171350.0,175195.0,179123.0,183090.0,187057.0,190994.0,194916.0,199100.0,204165.0,210321.0,217457.0,225186.0,233064.0,240809.0,248394.0,256018.0,263793.0,271695.0,279746.0,287890.0,296117.0,304373.0,312618.0,320256.0,327307.0,334420.0,341633.0,348935.0,356340.0,364717.0,373216.0,380232.0,385833.0,390819.0,395356.0
